cve_ent,pobreza,pobreza_mil,pobreza_m,pobreza_m_mil,pobreza_e,pobreza_e_mil,vul_car,vul_car_mil,vul_ing,vul_ing_mil,no_pobv,no_pbv_mil,carencias,carencias_mil,carencias3,carencias3_mil,ic_rezedu,ic_rezedu_mil,ic_asalud,ic_asalud_mil,ic_segsoc,ic_segsoc_mil,ic_cv,ic_cv_mil,ic_sbv,ic_sbv_mil,ic_ali_nc,ic_ali_nc_mil,plp_e,plp_e_mil,plp,plp_mil,anio
1,28.9464796,381.38,26.72991609,352.176,2.216563507,29.204,25.1300345,331.097,11.53737851,152.009,34.38610739,453.049,54.0765141,712.477,8.442128672,111.228,15.76254141,207.677,12.14123344,159.965,37.42701332,493.114,5.455490746,71.878,2.282899506,30.078,17.85015199,235.182,8.453134072,111.373,40.48385811,533.389,2016
2,22.60486714,819.473,21.64384589,784.634,0.96102125,34.839,33.63475069,1219.329,7.727643615,280.143,36.03273855,1306.261,56.23961783,2038.802,9.545085162,346.029,14.05252557,509.433,17.29479649,626.972,36.76913808,1332.957,7.767889604,281.602,6.277794972,227.583,16.14909608,585.438,4.760915656,172.593,30.33251076,1099.616,2016
3,22.88004985,165.234,21.39287569,154.494,1.487174161,10.74,34.10890712,246.326,7.288538097,52.636,35.72250493,257.979,56.98895697,411.56,12.63101049,91.218,14.30608924,103.315,12.45736837,89.964,34.00740818,245.593,13.12230415,94.766,12.81489944,92.546,20.05303424,144.818,5.292069097,38.218,30.16858795,217.87,2016
4,45.66019162,391.464,39.11216294,335.325,6.548028675,56.139,28.56642973,244.912,5.589717989,47.923,20.18366066,173.043,74.22662135,636.376,24.85530862,213.095,18.03620959,154.632,10.74635326,92.133,58.26356343,499.518,16.8839273,144.753,29.19371733,250.29,28.32358615,242.83,14.43647926,123.77,51.2499096,439.387,2016
5,27.05571279,799.762,25.13059958,742.856,1.925113211,56.906,20.53723602,607.077,16.01819632,473.495,36.38885487,1075.648,47.59294881,1406.839,7.78939114,230.253,13.74903501,406.419,12.80031475,378.375,27.42198701,810.589,5.172257477,152.891,5.48406587,162.108,16.69303128,493.443,9.611932684,284.127,43.07390911,1273.257,2016
6,32.53319721,227.531,30.38129432,212.481,2.151902897,15.05,30.13536256,210.761,6.734526674,47.1,30.59691356,213.989,62.66855977,438.292,13.58487005,95.01,17.00560925,118.934,11.86635039,82.991,44.83164398,313.544,11.37791847,79.575,8.617334471,60.268,22.18018505,155.124,6.248096531,43.698,39.26772389,274.631,2016
7,77.91276457,4036.725,48.27741613,2501.293,29.63534844,1535.432,11.77387044,610.014,3.608897985,186.98,6.704467,347.364,89.68663501,4646.739,43.47940382,2252.704,30.17564088,1563.425,15.03772474,779.117,81.90849288,4243.747,24.52321262,1270.568,52.30122737,2709.77,23.49798295,1217.45,49.51935725,2565.639,81.52166256,4223.705,2016
8,30.70164168,1103.977,27.39380459,985.033,3.307837091,118.944,24.70627038,888.394,12.81272387,460.723,31.77936406,1142.73,55.40791207,1992.371,10.13511785,364.441,17.11246157,615.334,12.23641647,440,37.41982366,1345.551,7.124125096,256.171,5.352903813,192.481,18.65041226,670.636,10.01483944,360.116,43.51436555,1564.7,2016
9,26.59985455,2424.66,24.89693991,2269.434,1.702914645,155.226,27.72770392,2527.467,7.407951872,675.258,38.26448966,3487.928,54.32755847,4952.127,7.739043081,705.438,8.900550096,811.313,19.6345973,1789.755,43.59446571,3973.772,5.907421939,538.48,2.093762441,190.853,13.72387322,1250.974,5.590318182,509.575,34.00780642,3099.918,2016
10,37.19311597,650.974,34.47853854,603.462,2.714577427,47.512,26.21813748,458.884,10.80723141,189.154,25.78151514,451.242,63.41125345,1109.858,11.1098732,194.451,16.00733379,280.169,14.09246886,246.654,46.53553141,814.49,7.017267208,122.82,8.090597136,141.606,18.77698894,328.645,11.90472926,208.363,48.00034738,840.128,2016
