no,cve_ent,year,valor,entidad,entidad_abr_m
1045,00,1950,28463441,Nacional,Nacional
1045,00,1951,29161024,Nacional,Nacional
1045,00,1952,29893469,Nacional,Nacional
1045,00,1953,30669402,Nacional,Nacional
1045,00,1954,31507175,Nacional,Nacional
1045,00,1955,32421555,Nacional,Nacional
1045,00,1956,33381410,Nacional,Nacional
1045,00,1957,34382245,Nacional,Nacional
1045,00,1958,35428062,Nacional,Nacional
1045,00,1959,36527873,Nacional,Nacional
1045,00,1960,37678427,Nacional,Nacional
1045,00,1961,38881128,Nacional,Nacional
1045,00,1962,40133786,Nacional,Nacional
1045,00,1963,41429336,Nacional,Nacional
1045,00,1964,42772209,Nacional,Nacional
1045,00,1965,44157094,Nacional,Nacional
1045,00,1966,45573114,Nacional,Nacional
1045,00,1967,47024169,Nacional,Nacional
1045,00,1968,48507808,Nacional,Nacional
1045,00,1969,50023146,Nacional,Nacional
1045,00,1970,51560567,Nacional,Nacional
1045,01,1970,361162,Aguascalientes,AGS
1045,02,1970,917327,Baja California,BC
1045,03,1970,135790,Baja California Sur,BCS
1045,04,1970,272385,Campeche,CAMP
1045,05,1970,1180162,Coahuila,COAH
1045,06,1970,255749,Colima,COL
1045,07,1970,1709417,Chiapas,CHPS
1045,08,1970,1698240,Chihuahua,CHIH
1045,09,1970,7336320,Ciudad de México,CDMX
1045,10,1970,990731,Durango,DGO
1045,11,1970,2414948,Guanajuato,GTO
1045,12,1970,1734823,Guerrero,GRO
1045,13,1970,1279615,Hidalgo,HGO
1045,14,1970,3523706,Jalisco,JAL
1045,15,1970,4124264,México,MEX
1045,16,1970,2491183,Michoacán,MICH
1045,17,1970,659232,Morelos,MOR
1045,18,1970,574724,Nayarit,NAY
1045,19,1970,1788560,Nuevo León,NL
1045,20,1970,2192362,Oaxaca,OAX
1045,21,1970,2722961,Puebla,PUE
1045,22,1970,519908,Querétaro,QRO
1045,23,1970,95721,Quintana Roo,QROO
1045,24,1970,1374018,San Luis Potosí,SLP
1045,25,1970,1335231,Sinaloa,SIN
1045,26,1970,1166037,Sonora,SON
1045,27,1970,814032,Tabasco,TAB
1045,28,1970,1537564,Tamaulipas,TAM
1045,29,1970,447729,Tlaxcala,TLAX
1045,30,1970,4085275,Veracruz,VER
1045,31,1970,819907,Yucatán,YUC
1045,32,1970,1001484,Zacatecas,ZAC
1045,00,1971,53133584,Nacional,Nacional
1045,01,1971,375681,Aguascalientes,AGS
1045,02,1971,944692,Baja California,BC
1045,03,1971,142537,Baja California Sur,BCS
1045,04,1971,285625,Campeche,CAMP
1045,05,1971,1216136,Coahuila,COAH
1045,06,1971,264532,Colima,COL
1045,07,1971,1753287,Chiapas,CHPS
1045,08,1971,1734964,Chihuahua,CHIH
1045,09,1971,7509052,Ciudad de México,CDMX
1045,10,1971,1012760,Durango,DGO
1045,11,1971,2478824,Guanajuato,GTO
1045,12,1971,1779929,Guerrero,GRO
1045,13,1971,1309655,Hidalgo,HGO
1045,14,1971,3619083,Jalisco,JAL
1045,15,1971,4413555,México,MEX
1045,16,1971,2542749,Michoacán,MICH
1045,17,1971,686122,Morelos,MOR
1045,18,1971,590446,Nayarit,NAY
1045,19,1971,1855132,Nuevo León,NL
1045,20,1971,2227100,Oaxaca,OAX
1045,21,1971,2795346,Puebla,PUE
1045,22,1971,540263,Querétaro,QRO
1045,23,1971,105751,Quintana Roo,QROO
1045,24,1971,1408158,San Luis Potosí,SLP
1045,25,1971,1383119,Sinaloa,SIN
1045,26,1971,1200649,Sonora,SON
1045,27,1971,838931,Tabasco,TAB
1045,28,1971,1578080,Tamaulipas,TAM
1045,29,1971,459263,Tlaxcala,TLAX
1045,30,1971,4217602,Veracruz,VER
1045,31,1971,844889,Yucatán,YUC
1045,32,1971,1019672,Zacatecas,ZAC
1045,00,1972,54758696,Nacional,Nacional
1045,01,1972,391243,Aguascalientes,AGS
1045,02,1972,972053,Baja California,BC
1045,03,1972,149752,Baja California Sur,BCS
1045,04,1972,299866,Campeche,CAMP
1045,05,1972,1253604,Coahuila,COAH
1045,06,1972,273713,Colima,COL
1045,07,1972,1797974,Chiapas,CHPS
1045,08,1972,1771088,Chihuahua,CHIH
1045,09,1972,7677940,Ciudad de México,CDMX
1045,10,1972,1034475,Durango,DGO
1045,11,1972,2545490,Guanajuato,GTO
1045,12,1972,1825874,Guerrero,GRO
1045,13,1972,1340299,Hidalgo,HGO
1045,14,1972,3716401,Jalisco,JAL
1045,15,1972,4728837,México,MEX
1045,16,1972,2594811,Michoacán,MICH
1045,17,1972,714396,Morelos,MOR
1045,18,1972,606473,Nayarit,NAY
1045,19,1972,1923804,Nuevo León,NL
1045,20,1972,2260626,Oaxaca,OAX
1045,21,1972,2870352,Puebla,PUE
1045,22,1972,562119,Querétaro,QRO
1045,23,1972,116946,Quintana Roo,QROO
1045,24,1972,1443384,San Luis Potosí,SLP
1045,25,1972,1432970,Sinaloa,SIN
1045,26,1972,1235960,Sonora,SON
1045,27,1972,864460,Tabasco,TAB
1045,28,1972,1618545,Tamaulipas,TAM
1045,29,1972,471302,Tlaxcala,TLAX
1045,30,1972,4354921,Veracruz,VER
1045,31,1972,871062,Yucatán,YUC
1045,32,1972,1037956,Zacatecas,ZAC
1045,00,1973,56414565,Nacional,Nacional
1045,01,1973,407355,Aguascalientes,AGS
1045,02,1973,999566,Baja California,BC
1045,03,1973,157262,Baja California Sur,BCS
1045,04,1973,314606,Campeche,CAMP
1045,05,1973,1292036,Coahuila,COAH
1045,06,1973,283137,Colima,COL
1045,07,1973,1843035,Chiapas,CHPS
